state	year	value
New Hampshire	2000	69.7
New Hampshire	1990	68.2
New Hampshire	1980	67.6
New Hampshire	1970	68.2
New Hampshire	1960	65.1
New Hampshire	1950	58.1
New Hampshire	1940	51.7
New Hampshire	1930	55
New Hampshire	1920	49.8
New Hampshire	1910	51.2
New Hampshire	1900	53.9
New Jersey	2010	65.4
New Jersey	2000	65.6
New Jersey	1990	64.9
New Jersey	1980	62
New Jersey	1970	60.9
New Jersey	1960	61.3
New Jersey	1950	53.1
New Jersey	1940	39.4
New Jersey	1930	48.4
New Jersey	1920	38.3
New Jersey	1910	35
New Jersey	1900	34.3
New Mexico	2010	68.5
New Mexico	2000	70
New Mexico	1990	67.4
New Mexico	1980	68.1
New Mexico	1970	66.4
New Mexico	1960	65.3
New Mexico	1950	58.8
New Mexico	1940	57.3
New Mexico	1930	57.4
New Mexico	1920	59.4
New Mexico	1910	70.6
New Mexico	1900	68.5
New York	2010	53.3
New York	2000	53
New York	1990	52.2
New York	1980	48.6
New York	1970	47.3
New York	1960	44.8
New York	1950	37.9
New York	1940	30.3
New York	1930	37.1
New York	1920	30.7
New York	1910	31
New York	1900	33.2
North Carolina	2010	66.7
North Carolina	2000	69.4
North Carolina	1990	68
North Carolina	1980	68.4
North Carolina	1970	65.4
North Carolina	1960	60.1
North Carolina	1950	53.3
North Carolina	1940	42.4
North Carolina	1930	44.5
North Carolina	1920	47.4
North Carolina	1910	47.3
North Carolina	1900	46.6
North Dakota	2010	65.4
North Dakota	2000	66.6
North Dakota	1990	65.6
North Dakota	1980	68.7
North Dakota	1970	68.4
North Dakota	1960	68.4
North Dakota	1950	66.2
North Dakota	1940	49.8
North Dakota	1930	58.6
North Dakota	1920	65.3
North Dakota	1910	75.7
North Dakota	1900	80
Ohio	2010	67.6
Ohio	2000	69.1
Ohio	1990	67.5
Ohio	1980	68.4
Ohio	1970	67.7
Ohio	1960	67.4
Ohio	1950	61.1
Ohio	1940	50
Ohio	1930	54.4
Ohio	1920	51.6
Ohio	1910	51.3
Ohio	1900	52.5
Oklahoma	2010	67.2
Oklahoma	2000	68.4
Oklahoma	1990	68.1
Oklahoma	1980	70.7
Oklahoma	1970	69.2
Oklahoma	1960	67
Oklahoma	1950	60
Oklahoma	1940	42.8
Oklahoma	1930	41.3
Oklahoma	1920	45.5
Oklahoma	1910	45.4
Oklahoma	1900	54.2
Oregon	2010	62.2
Oregon	2000	64.3
Oregon	1990	63.1
Oregon	1980	65.1
Oregon	1970	66.1
Oregon	1960	69.3
Oregon	1950	65.3
Oregon	1940	55.4
Oregon	1930	59.1
Oregon	1920	54.8
Oregon	1910	60.1
Oregon	1900	58.7
Pennsylvania	2010	69.6
Pennsylvania	2000	71.3
Pennsylvania	1990	70.6
Pennsylvania	1980	69.9
Pennsylvania	1970	68.8
Pennsylvania	1960	68.3
Pennsylvania	1950	59.7
Pennsylvania	1940	45.9
Pennsylvania	1930	54.4
Pennsylvania	1920	45.2
Pennsylvania	1910	41.6
Pennsylvania	1900	41.2
Rhode Island	2010	60.7
Rhode Island	2000	60
Rhode Island	1990	59.5
Rhode Island	1980	58.8
Rhode Island	1970	57.9
Rhode Island	1960	54.5
Rhode Island	1950	45.3
Rhode Island	1940	37.4
Rhode Island	1930	41.2
Rhode Island	1920	31.1
Rhode Island	1910	28.3
Rhode Island	1900	28.6
South Carolina	2010	69.3
South Carolina	2000	72.2
South Carolina	1990	69.8
South Carolina	1980	70.2
South Carolina	1970	66.1
South Carolina	1960	57.3
South Carolina	1950	45.1
South Carolina	1940	30.6
South Carolina	1930	30.9
South Carolina	1920	32.2
South Carolina	1910	30.8
South Carolina	1900	30.6
South Dakota	2010	68.1
South Dakota	2000	68.2
South Dakota	1990	66.1
South Dakota	1980	69.3
South Dakota	1970	69.6
South Dakota	1960	67.2
South Dakota	1950	62.2
South Dakota	1940	45
South Dakota	1930	53.1
South Dakota	1920	61.5
South Dakota	1910	68.2
South Dakota	1900	71.2
Tennessee	2010	68.2
Tennessee	2000	69.9
Tennessee	1990	68
Tennessee	1980	68.6
Tennessee	1970	66.7
Tennessee	1960	63.7
Tennessee	1950	56.5
Tennessee	1940	44.1
Tennessee	1930	46.2
Tennessee	1920	47.7
Tennessee	1910	47
Tennessee	1900	46.3
Texas	2010	63.7
Texas	2000	63.8
Texas	1990	60.9
Texas	1980	64.3
Texas	1970	64.7
Texas	1960	64.8
Texas	1950	56.7
Texas	1940	42.8
Texas	1930	41.7
Texas	1920	42.8
Texas	1910	45.1
Texas	1900	46.5
Utah	2010	70.4
Utah	2000	71.5
Utah	1990	68.1
Utah	1980	70.7
Utah	1970	69.3
Utah	1960	71.7
Utah	1950	65.3
Utah	1940	61.1
Utah	1930	60.9
Utah	1920	60
Utah	1910	64.8
Utah	1900	67.8
Vermont	2010	70.7
Vermont	2000	70.6
Vermont	1990	69
Vermont	1980	68.7
Vermont	1970	69.1
Vermont	1960	66
Vermont	1950	61.3
Vermont	1940	55.9
Vermont	1930	59.8
Vermont	1920	57.5
Vermont	1910	58.5
Vermont	1900	60.4
Virginia	2010	67.2
Virginia	2000	68.1
Virginia	1990	66.3
Virginia	1980	65.6
Virginia	1970	62
Virginia	1960	61.3
Virginia	1950	55.1
Virginia	1940	48.9
Virginia	1930	52.4
Virginia	1920	51.1
Virginia	1910	51.5
Virginia	1900	48.8
Washington	2010	63.9
Washington	2000	64.6
Washington	1990	62.6
Washington	1980	65.6
Washington	1970	66.8
Washington	1960	68.5
Washington	1950	65
Washington	1940	57
Washington	1930	59.4
Washington	1920	54.7
Washington	1910	57.3
Washington	1900	54.5
West Virginia	2010	73.4
West Virginia	2000	75.2
West Virginia	1990	74.1
West Virginia	1980	73.6
West Virginia	1970	68.9
West Virginia	1960	64.3
West Virginia	1950	55
West Virginia	1940	43.7
West Virginia	1930	45.9
West Virginia	1920	46.8
West Virginia	1910	49.5
West Virginia	1900	54.6
Wisconsin	2010	68.1
Wisconsin	2000	68.4
Wisconsin	1990	66.7
Wisconsin	1980	68.2
Wisconsin	1970	69.1
Wisconsin	1960	68.6
Wisconsin	1950	63.5
Wisconsin	1940	54.4
Wisconsin	1930	63.2
Wisconsin	1920	63.6
Wisconsin	1910	64.6
Wisconsin	1900	66.4
Wyoming	2010	69.2
Wyoming	2000	70
Wyoming	1990	67.8
Wyoming	1980	69.2
Wyoming	1970	66.4
Wyoming	1960	62.2
Wyoming	1950	54
Wyoming	1940	48.6
Wyoming	1930	48.3
Wyoming	1920	51.9
Wyoming	1910	54.5
Wyoming	1900	55.2
Alabama	2015	67.9
Alaska	2015	63.9
Arizona	2015	61.9
Arkansas	2015	65.2
California	2015	53.6
Colorado	2015	63.7
Connecticut	2015	66.2
Delaware	2015	70.8
District of Columbia	2015	39.9
Florida	2015	63.8
Georgia	2015	61.8
Hawaii	2015	56.6
Idaho	2015	69
Illinois	2015	65.3
Indiana	2015	68.2
Iowa	2015	70.7
Kansas	2015	66.4
Kentucky	2015	66.3
Louisiana	2015	64.6
Maine	2015	71
Maryland	2015	65.9
Massachusetts	2015	61.7
Michigan	2015	70.4
Minnesota	2015	70.9
Mississippi	2015	67.4
Missouri	2015	66.1
Montana	2015	66.7
Nebraska	2015	65.9
Nevada	2015	54
New Hampshire	2015	70.9
New Jersey	2015	63
New Mexico	2015	67.5
New York	2015	53.1
North Carolina	2015	63.9
North Dakota	2015	61.7
Ohio	2015	65.4
Oklahoma	2015	65.3
Oregon	2015	61.1
Pennsylvania	2015	68.7
Rhode Island	2015	59
South Carolina	2015	68.1
South Dakota	2015	68.2
Tennessee	2015	65.8
Texas	2015	61.1
Utah	2015	68.9
Vermont	2015	70.7
Virginia	2015	65
Washington	2015	62.4
West Virginia	2015	72.3
Wisconsin	2015	66.8
Wyoming	2015	68
United States	2015	63
United States	2005	66.9
Alabama	2005	70.5
Alaska	2005	63
Arizona	2005	68.2
Arkansas	2005	67.8
California	2005	58.4
Colorado	2005	67.8
Connecticut	2005	69.5
Delaware	2005	72.4
District of Columbia	2005	42.5
Florida	2005	69.6
Georgia	2005	66.8
Hawaii	2005	59.7
Idaho	2005	71.4
Illinois	2005	69.9
Indiana	2005	72
Iowa	2005	73.1
Kansas	2005	69.5
Kentucky	2005	70.6
Louisiana	2005	67.8
Maine	2005	71.8
Maryland	2005	69
Massachusetts	2005	64
Michigan	2005	74.7
Minnesota	2005	75.8
Mississippi	2005	69.9
Missouri	2005	70.6
Montana	2005	69.1
Nebraska	2005	68.2
Nevada	2005	60.7
New Hampshire	2005	73
New Jersey	2005	67.3
New Mexico	2005	69.3
New York	2005	55.3
North Carolina	2005	68.2
North Dakota	2005	67.5
Ohio	2005	69.9
Oklahoma	2005	67.9
Oregon	2005	63.8
Pennsylvania	2005	71.5
Rhode Island	2005	62.7
South Carolina	2005	70.1
South Dakota	2005	69
Tennessee	2005	69.3
Texas	2005	64.7
Utah	2005	70.6
Vermont	2005	71.1
Virginia	2005	69.6
Washington	2005	64.7
West Virginia	2005	75.4
Wisconsin	2005	70.1
Wyoming	2005	71.5
